Id,Category
420,39
421,6
422,10
423,22
424,17
425,34
426,34
427,36
428,27
429,16
430,23
431,9
432,25
433,23
434,27
435,12
436,2
437,7
438,21
439,4
440,37
441,33
442,21
443,13
444,17
445,27
446,11
447,13
448,25
449,1
450,25
451,18
452,11
453,35
454,32
455,19
456,26
457,9
458,8
459,15
460,29
461,20
462,17
463,13
464,34
465,13
466,24
467,5
468,24
469,16
470,3
471,32
472,30
473,13
474,10
475,27
476,6
477,29
478,6
479,37
480,6
481,20
482,11
483,22
484,1
485,20
486,7
487,36
488,6
489,28
490,3
491,18
492,6
493,15
494,29
495,4
496,34
497,26
498,39
499,34
500,27
501,30
502,17
503,35
504,13
505,30
506,24
507,23
508,8
509,1
510,12
511,30
512,15
513,23
514,6
515,1
516,1
517,28
518,12
519,18
520,31
521,27
522,9
523,17
524,19
525,2
526,25
527,29
528,16
529,17
530,24
531,30
532,19
533,37
534,7
535,10
536,3
537,22
538,35
539,33
540,6
541,33
542,21
543,10
544,9
545,38
546,35
547,25
548,1
549,39
550,11
551,35
552,24
553,5
554,32
555,1
556,33
557,34
558,23
559,3
560,26
561,33
562,37
563,35
564,3
565,11
566,13
567,5
568,29
569,8
570,38
571,2
572,15
573,25
574,12
575,2
576,3
577,18
578,6
579,31
580,19
581,13
582,25
583,33
584,3
585,7
586,16
587,22
588,39
589,12
590,4
591,38
592,19
593,1
594,37
595,12
596,13
597,38
598,9
599,30
600,17
601,19
602,27
603,21
604,28
605,1
606,8
607,28
608,15
609,12
610,34
611,23
612,25
613,21
614,10
615,37
616,27
617,26
618,12
619,32
620,8
621,19
622,38
623,34
624,24
625,24
626,10
627,24
628,26
629,31
630,1
631,17
632,35
633,35
634,5
635,30
636,8
637,31
638,8
639,18
640,18
641,12
642,23
643,22
644,28
645,38
646,21
647,28
648,6
649,33
650,33
651,7
652,37
653,10
654,35
655,22
656,20
657,4
658,37
659,17
660,4
661,9
662,36
663,18
664,24
665,21
666,26
667,23
668,39
669,38
670,12
671,18
672,18
673,16
674,39
675,15
676,32
677,25
678,35
679,38
680,28
681,18
682,20
683,20
684,6
685,10
686,33
687,10
688,29
689,9
690,15
691,31
692,22
693,39
694,3
695,2
696,34
697,12
698,32
699,37
700,10
701,32
702,11
703,4
704,6
705,38
706,22
707,19
708,37
709,4
710,31
711,36
712,22
713,5
714,2
715,8
716,28
717,23
718,15
719,10
720,37
721,31
722,36
723,6
724,26
725,13
726,11
727,32
728,32
729,4
730,8
731,26
732,7
733,37
734,7
735,36
736,29
737,30
738,9
739,17
740,15
741,9
742,31
743,17
744,5
745,39
746,26
747,21
748,31
749,8
750,27
751,22
752,6
753,18
754,13
755,20
756,22
757,39
758,22
759,25
760,31
761,20
762,18
763,16
764,28
765,21
766,16
767,33
768,17
769,28
770,12
771,39
772,25
773,36
774,22
775,12
776,9
777,35
778,13
779,20
780,24
781,25
782,22
783,3
784,27
785,34
786,34
787,8
788,27
789,3
790,12
791,6
792,20
793,11
794,19
795,22
796,33
797,7
798,16
799,19
800,30
801,12
802,31
803,9
804,1
805,28
806,29
807,27
808,16
809,27
810,24
811,8
812,15
813,37
814,22
815,1
816,26
817,16
818,36
819,5
820,24
821,25
822,11
823,16
824,33
825,34
826,13
827,19
828,5
829,26
830,26
831,7
832,23
833,9
834,23
835,22
836,26
837,8
838,21
839,31
840,34
841,15
842,30
843,16
844,37
845,18
846,6
847,24
848,34
849,3
850,16
851,2
852,17
853,29
854,33
855,28
856,28
857,7
858,16
859,29
860,21
861,22
862,29
863,29
864,22
865,5
866,3
867,29
868,21
869,26
870,32
871,19
872,32
873,1
874,26
875,3
876,38
877,34
878,39
879,26
880,18
881,22
882,35
883,39
884,25
885,35
886,31
887,34
888,21
889,6
890,10
891,8
892,17
893,30
894,25
895,26
896,25
897,27
898,37
899,6
900,28
901,20
902,39
903,32
904,6
905,6
906,30
907,25
908,33
909,32
910,26
911,20
912,11
913,32
914,39
915,17
916,7
917,28
918,2
919,30
920,20
921,23
922,15
923,4
924,39
925,4
926,17
927,38
928,6
929,15
930,4
931,1
932,16
933,7
934,13
935,26
936,17
937,36
938,3
939,5
940,27
941,22
942,24
943,26
944,27
945,28
946,6
947,11
948,32
949,15
950,12
951,3
952,35
953,4
954,39
955,2
956,19
957,12
958,28
959,1
960,20
961,39
962,18
963,23
964,22
965,2
966,26
967,13
968,8
969,21
970,8
971,18
972,37
973,11
974,6
975,20
976,25
977,16
978,35
979,12
980,33
981,29
982,4
983,15
984,36
985,31
986,28
987,17
988,5
989,34
990,30
991,38
992,26
993,2
994,34
995,7
996,32
997,29
998,26
999,31
1000,18
1001,16
1002,18
1003,19
1004,32
1005,10
1006,32
1007,16
1008,9
1009,25
1010,7
1011,15
1012,7
1013,15
1014,26
1015,39
1016,17
1017,23
1018,24
1019,17
1020,10
1021,20
1022,33
1023,4
1024,34
1025,6
1026,39
1027,30
1028,30
1029,15
1030,16
1031,11
1032,18
1033,5
1034,1
1035,34
1036,2
1037,35
1038,3
1039,29
1040,33
1041,9
1042,30
1043,27
1044,20
1045,17
1046,7
1047,27
1048,20
1049,7
1050,13
1051,35
1052,36
1053,31
1054,25
1055,16
1056,9
1057,7
1058,5
1059,26
1060,3
1061,29
1062,23
1063,19
1064,37
1065,15
1066,9
1067,11
1068,2
1069,36
1070,5
1071,29
1072,19
1073,23
1074,24
1075,4
1076,21
1077,10
1078,32
1079,12
1080,35
1081,28
1082,6
1083,26
1084,38
1085,35
1086,27
1087,1
1088,25
1089,10
1090,1
1091,37
1092,5
1093,23
1094,39
1095,11
1096,5
1097,33
1098,9
1099,24
1100,38
1101,20
1102,21
1103,10
1104,29
1105,28
1106,32
1107,24
1108,39
1109,35
1110,35
1111,34
1112,8
1113,17
1114,25
1115,35
1116,5
1117,23
1118,38
1119,38
1120,38
1121,2
1122,36
1123,7
1124,23
1125,35
1126,24
1127,22
1128,2
1129,3
1130,30
1131,1
1132,6
1133,7
1134,20
1135,1
1136,23
1137,20
1138,30
1139,3
1140,11
1141,20
1142,35
1143,25
1144,29
1145,22
1146,18
1147,17
1148,12
1149,38
1150,26
1151,23
1152,33
1153,13
1154,6
1155,36
1156,15
1157,34
1158,38
1159,28
1160,31
1161,35
1162,8
1163,13
1164,13
1165,19
1166,2
1167,24
1168,39
1169,29
1170,26
1171,21
1172,11
1173,24
1174,12
1175,1
1176,7
1177,10
1178,9
1179,10
1180,7
1181,15
1182,31
1183,11
1184,22
1185,30
1186,37
1187,32
1188,1
1189,27
1190,31
1191,5
1192,28
1193,13
1194,10
1195,1
1196,34
1197,7
1198,15
1199,39
1200,3
1201,36
1202,13
1203,6
1204,23
1205,4
1206,26
1207,12
1208,20
1209,18
1210,25
1211,8
1212,2
1213,37
1214,5
1215,39
1216,36
1217,15
1218,6
1219,27
1220,29
1221,25
1222,16
1223,35
1224,31
1225,26
1226,39
1227,4
1228,26
1229,28
1230,32
1231,27
1232,39
1233,19
1234,19
1235,33
1236,38
1237,4
1238,12
1239,37
1240,15
1241,17
1242,31
1243,25
1244,26
1245,30
1246,26
1247,16
1248,21
1249,28
1250,12
1251,18
1252,22
1253,13
1254,36
1255,31
1256,11
1257,17
1258,24
1259,26
1260,15
1261,27
1262,8
1263,27
1264,27
1265,24
1266,30
1267,19
1268,32
1269,36
1270,13
1271,13
1272,35
1273,16
1274,20
1275,3
1276,30
1277,15
1278,28
1279,9
1280,10
1281,20
1282,37
1283,17
1284,33
1285,38
1286,7
1287,12
1288,39
1289,29
1290,33
1291,18
1292,30
1293,30
1294,29
1295,25
1296,34
1297,21
1298,35
1299,36
1300,36
1301,36
1302,11
1303,25
1304,31
1305,2
1306,1
1307,21
1308,9
1309,3
1310,19
1311,12
1312,7
1313,16
1314,21
1315,29
1316,34
1317,28
1318,34
1319,23
1320,12
1321,38
1322,39
1323,12
1324,29
1325,9
1326,28
1327,38
1328,20
1329,36
1330,32
1331,4
1332,4
1333,4
1334,25
1335,34
1336,11
1337,23
1338,31
1339,33
1340,22
1341,36
1342,39
1343,10
1344,30
1345,18
1346,7
1347,11
1348,30
1349,31
1350,4
1351,31
1352,2
1353,7
1354,35
1355,32
1356,10
1357,19
1358,16
1359,4
1360,23
1361,13
1362,4
1363,24
1364,27
1365,24
1366,25
1367,11
1368,8
1369,9
1370,19
1371,38
1372,32
1373,19
1374,20
1375,12
1376,10
1377,1
1378,26
1379,3
1380,25
1381,6
1382,9
1383,19
1384,33
1385,29
1386,8
1387,5
1388,21
1389,22
1390,38
1391,35
1392,4
1393,1
1394,11
1395,1
1396,17
1397,31
1398,35
1399,3
1400,12
1401,21
1402,31
1403,35
1404,18
1405,17
1406,7
1407,9
1408,4
1409,9
1410,38
1411,31
1412,7
1413,7
1414,32
1415,39
1416,22
1417,20
1418,38
1419,15
1420,25
1421,37
1422,5
1423,27
1424,13
1425,23
1426,1
1427,20
1428,13
1429,32
1430,38
1431,2
1432,10
1433,13
1434,25
1435,17
1436,8
1437,19
1438,16
1439,22
1440,4
1441,9
1442,16
1443,33
1444,29
1445,29
1446,33
1447,10
1448,17
1449,2
1450,36
1451,13
1452,8
1453,30
1454,32
1455,9
1456,27
1457,12
1458,39
1459,26
1460,21
1461,4
1462,37
1463,9
1464,1
1465,5
1466,28
1467,37
1468,8
1469,33
1470,2
1471,19
1472,30
1473,19
1474,9
1475,18
1476,30
1477,33
1478,24
1479,24
1480,1
1481,38
1482,16
1483,36
1484,38
1485,1
1486,13
1487,13
1488,19
1489,29
1490,11
1491,24
1492,3
1493,38
1494,31
1495,6
1496,32
1497,31
1498,21
1499,19
1500,34
1501,11
1502,21
1503,19
1504,7
1505,10
1506,28
1507,4
1508,26
1509,30
1510,3
1511,2
1512,28
1513,31
1514,18
1515,36
1516,25
1517,16
1518,36
1519,26
1520,4
1521,28
1522,11
1523,32
1524,23
1525,17
1526,34
1527,27
1528,29
1529,8
1530,15
1531,29
1532,4
1533,7
1534,30
1535,12
1536,16
1537,17
1538,5
1539,16
1540,34
1541,15
1542,9
1543,31
1544,25
1545,21
1546,4
1547,35
1548,19
1549,6
1550,30
1551,17
1552,29
1553,22
1554,28
1555,24
1556,3
1557,39
1558,24
1559,30
1560,2
1561,27
1562,22
1563,25
1564,24
1565,22
1566,6
1567,37
1568,39
1569,20
1570,6
1571,7
1572,3
1573,11
1574,19
1575,12
1576,5
1577,21
1578,16
1579,8
1580,27
1581,37
1582,32
1583,2
1584,33
1585,34
1586,9
1587,10
1588,20
1589,2
1590,18
1591,10
1592,6
1593,5
1594,23
1595,39
1596,15
1597,29
1598,20
1599,12
1600,21
1601,22
1602,35
1603,19
1604,16
1605,33
1606,15
1607,27
1608,20
1609,27
1610,2
1611,35
1612,30
1613,29
1614,30
1615,24
1616,27
1617,6
1618,34
1619,35
1620,11
1621,27
1622,26
1623,34
1624,25
1625,3
1626,21
1627,34
1628,1
1629,5
1630,10
1631,27
1632,11
1633,24
1634,30
1635,37
1636,11
1637,22
1638,1
1639,27
1640,39
1641,28
1642,7
1643,37
1644,22
1645,4
1646,13
1647,22
1648,6
1649,2
1650,19
1651,2
1652,20
1653,10
1654,24
1655,4
1656,31
1657,39
1658,3
1659,18
1660,7
1661,26
1662,25
1663,5
1664,38
1665,15
1666,8
1667,28
1668,31
1669,3
1670,20
1671,28
1672,18
1673,33
1674,18
1675,19
1676,25
1677,6
1678,16
1679,25
1680,1
1681,11
1682,11
1683,34
1684,8
1685,11
1686,38
1687,15
1688,7
1689,13
1690,3
1691,38
1692,23
1693,22
1694,9
1695,34
1696,17
1697,32
1698,13
1699,10
1700,22
1701,6
1702,29
1703,30
1704,38
1705,36
1706,37
1707,5
1708,11
1709,25
1710,32
1711,34
1712,28
1713,38
1714,30
1715,23
1716,19
1717,31
1718,15
1719,37
1720,3
1721,18
1722,18
1723,34
1724,21
1725,13
1726,18
1727,24
1728,5
1729,37
1730,38
1731,36
1732,9
1733,34
1734,30
1735,27
1736,25
1737,8
1738,3
1739,21
1740,15
1741,6
1742,2
1743,5
1744,26
1745,16
1746,7
1747,5
1748,30
1749,22
1750,36
1751,37
1752,24
1753,4
1754,36
1755,17
1756,10
1757,29
1758,38
1759,27
1760,2
1761,8
1762,22
1763,24
1764,7
1765,17
1766,2
1767,26
1768,20
1769,11
1770,23
1771,16
1772,5
1773,34
1774,27
1775,23
1776,19
1777,5
1778,12
1779,27
1780,5
1781,2
1782,7
1783,35
1784,36
1785,28
1786,31
1787,2
1788,33
1789,33
1790,32
1791,23
1792,23
1793,27
1794,12
1795,9
1796,28
1797,3
1798,8
1799,34
1800,23
1801,32
1802,3
1803,10
1804,31
1805,36
1806,24
1807,39
1808,36
1809,35
1810,4
1811,16
1812,1
1813,22
1814,27
1815,6
1816,31
1817,19
1818,28
1819,26
1820,35
1821,6
1822,5
1823,15
1824,10
1825,33
1826,19
1827,21
1828,3
1829,25
1830,30
1831,9
1832,19
1833,7
1834,30
1835,9
1836,28
1837,1
1838,32
1839,30
1840,17
1841,16
1842,24
1843,8
1844,34
1845,13
1846,17
1847,4
1848,25
1849,20
1850,37
1851,20
1852,29
1853,31
1854,26
1855,7
1856,10
1857,12
1858,3
1859,39
1860,4
1861,10
1862,21
1863,2
1864,32
1865,37
1866,10
1867,16
1868,24
1869,22
1870,37
1871,32
1872,4
1873,18
1874,31
1875,13
1876,10
1877,38
1878,31
1879,39
1880,32
1881,37
1882,28
1883,11
1884,9
1885,10
1886,5
1887,19
1888,3
1889,22
1890,39
